id;phone;email;password;first_name;last_name;deleted
1;0627662547;Augustine8@hotmail.fr;multi-byte Administrateur;Geneviève;Dumont;true
2;0592338993;Maxellende.Fabre0@yahoo.fr;Nord-Pas-de-Calais Handcrafted;Oriane;Dupuy;true
3;+33 674068824;Hector80@yahoo.fr;c;Arabelle;David;true
4;+33 232974455;Aveline11@hotmail.fr;Executif Taiwan;Augustine;Mercier;false
5;0657441184;Ariane.Moulin@gmail.com;transitional Multi-layered Hryvnia;Hortense;Rousseau;false
6;0283453275;Acacie.Jean92@gmail.com;Bike payment Borders;Palémon;Julien;true
7;0493651321;Coralie94@gmail.com;Fantastic;Brunehilde;Mathieu;false
8;0413935351;Gaud_Dupuy@gmail.com;Cambridgeshire Cotton;Tonnin;Sanchez;true
9;+33 685907699;Alcime62@gmail.com;deposit Checking Shoes;René;Marie;false
10;0583607883;Magali.Nguyen@hotmail.fr;b b;Clémence;Barre;false
